"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",5059.1812674244
"2","member","Sunday",972.160888416366
"3","casual","Monday",4750.76265426578
"4","member","Monday",822.213402155211
"5","casual","Tuesday",4560.81903980304
"6","member","Tuesday",769.441628768344
"7","casual","Wednesday",4480.37243172952
"8","member","Wednesday",711.983790257748
"9","casual","Thursday",8450.15572967679
"10","member","Thursday",707.209274283707
"11","casual","Friday",6088.94022213902
"12","member","Friday",796.671271533759
"13","casual","Saturday",4946.49558376011
"14","member","Saturday",973.709407032131
